firstname,lastname,phoneno,payment_method,no_of_screen
Buck,Josovitz,8099573339,jcb,1
Jayme,Primrose,4906771247,jcb,4
Lanie,Jenik,5761740692,jcb,9
Derk,Gellert,9966556398,jcb,6
Teddy,Nobriga,2483003936,jcb,8
Gale,Mewett,5209156959,diners-club-enroute,8
Kaia,Madgin,2036205242,instapayment,9
Ema,Bargery,1897771105,jcb,3
Gerek,Lethardy,6606450236,diners-club-carte-blanche,6
Falkner,Esposita,5544226974,diners-club-carte-blanche,6
Halsy,Gritskov,8541848126,maestro,4
Jermain,Kinnier,4107282199,china-unionpay,4
Dolly,Brockington,7524846432,jcb,2
Mignon,Blain,1276652605,jcb,2
King,Karus,6528320844,mastercard,7
Eloisa,Nias,7735733354,mastercard,7
Antons,Phelan,8253872953,visa,7
Gaby,Chitson,6287510750,jcb,6
Tito,Whipple,6311814303,maestro,6
Jessa,Kilian,9475003483,instapayment,4
Yolande,Bland,3234717175,solo,2
Karalee,Haggerty,6194820208,solo,9
Batholomew,Warin,8913077913,china-unionpay,3
Adriano,Mattiazzo,1072081480,jcb,8
Albertine,Van der Krui,1133319980,jcb,9
Cam,Ilieve,3637463629,switch,8
Stern,Fearnyhough,4929584451,jcb,2
Thacher,Chatburn,6377788640,jcb,7
Latrena,Physic,3274767536,americanexpress,6
Ezekiel,Casajuana,4311626025,jcb,9
Allyce,Nouch,1611892932,jcb,8
Vin,Gissing,9507554579,jcb,1
Inez,Schenfisch,1159985498,diners-club-carte-blanche,7
Cody,Hairsnape,7529974407,jcb,1
Mimi,Pheasey,1991588078,diners-club-enroute,6
Codi,Kennifeck,1179448555,bankcard,2
Roland,Bricham,7075343679,americanexpress,8
Vivianne,Waterstone,1923334541,jcb,2
Melisandra,McElrath,6856246658,diners-club-carte-blanche,8
Thoma,Shovel,4575312979,visa,6
Cecil,Flatley,6779234975,diners-club-enroute,5
Haydon,Topping,6995011516,americanexpress,8
Stu,Willimott,4128846885,china-unionpay,4
Grethel,Reams,4149586275,diners-club-us-ca,9
Novelia,Frogley,6673053290,jcb,9
Malena,Breede,4046208075,mastercard,7
Boycey,Adams,3172103401,mastercard,9
Jennette,Gaddesby,5091333162,jcb,7
Conrado,Shewring,4895681926,maestro,3
Elvis,Garman,5294438791,diners-club-carte-blanche,5
Jackie,Roskilly,4135118018,jcb,2
Aluino,Stillmann,7342548177,jcb,4
Gery,Girodin,7474587022,maestro,4
Brigit,O'Lagen,1776710931,mastercard,6
Bobina,Copnall,3392897214,jcb,1
Stan,Duckham,1638489078,switch,8
Port,McGoon,6042516386,china-unionpay,5
Sunny,Cortnay,6378830652,americanexpress,6
Marcille,Crutch,1618028128,jcb,1
Flin,Danielczyk,5357164000,switch,6
Daniel,Johns,5805107585,bankcard,3
Noelle,Hanshawe,2339942885,jcb,2
Genevieve,MacIntyre,1397087272,jcb,1
Solomon,Felten,4984016596,jcb,6
Dud,Bellerby,9929036359,switch,4
Coriss,Tomlins,9754946994,visa-electron,3
Gerri,Phelipeau,4459292376,jcb,6
Cammi,Swyer-Sexey,4418669749,switch,9
Denny,Goodbanne,5596427231,bankcard,2
Kean,Bardnam,7189270332,maestro,8
Pet,Gredden,8529868724,jcb,5
Lay,Crowcroft,9359086439,jcb,6
Ezri,Kelner,2535295370,bankcard,1
Gayla,Spread,1965592879,diners-club-carte-blanche,3
Batsheva,Geaves,7881676772,mastercard,4
Gerti,Teape,4432846868,mastercard,3
Charla,Sex,8729166625,solo,8
Julieta,Snazle,8421346077,mastercard,7
Farrah,Osbourne,7097484345,jcb,7
Bat,Polden,8176559473,mastercard,3
Tomas,Broadbury,3094624461,jcb,1
Arty,Lawless,5102288077,mastercard,3
Marne,Corrison,9255175673,switch,7
Spense,Guillet,8587779411,jcb,4
Flory,Poytres,3147772262,instapayment,9
Korella,Welfair,1565525046,jcb,9
Lamond,Frickey,4565487407,visa-electron,9
Roobbie,McRae,7927437240,diners-club-enroute,5
Manuel,Ketley,6056827367,mastercard,1
Joshuah,McGrirl,4228237571,jcb,8
Teena,Colecrough,5533013839,jcb,8
Elladine,Torrijos,1049212953,visa,5
Blondelle,Hilldrop,8651553284,mastercard,9
Bette,Sissot,4904657052,jcb,7
