firstname,lastname,phoneno,payment_method,no_of_screen
Nina,Nguyen,0450343022,Paypal,8
Clare,Doornbos,6241207417,jcb,8
Deeann,Flattman,3597403613,jcb,7
Igor,Wolfer,5259238685,bankcard,4
Maryellen,Gallandre,9313848235,jcb,3
Lori,Folini,2484565925,solo,5
Junina,Brennan,6758022488,jcb,3
Pierette,Tomankiewicz,6262319958,jcb,1
Daffy,Plevey,8887894478,americanexpress,1
Rakel,Cockshtt,4091384448,jcb,9
Wiley,Kirrage,8091256653,china-unionpay,6
Neall,Keep,8414331940,diners-club-carte-blanche,6
Austen,Dod,8925448780,instapayment,9
Louisette,Bleackley,4966120905,mastercard,2
Alexis,Deerr,5678355313,visa-electron,1
Phyllis,Aleksankov,8087111856,maestro,8
Gloria,Hafford,7364111281,jcb,1
Madlen,Bonsale,4694438433,laser,4
Jandy,Connue,4681273669,jcb,2
Christiana,Heenan,9885603106,diners-club-enroute,6
Coco,David,9254009913,visa-electron,3
Kimmy,Heyfield,9254009933,visa-electron,3
Corney,Hudson,6341083648,diners-club-carte-blanche,1
Jocelin,Clubb,6855874457,maestro,9
Ainslie,Hamm,6082697165,maestro,6
Liliane,Butteris,3695351558,maestro,1
Peria,Norker,1587610795,jcb,8
Iosep,Bartley,1453303566,jcb,7
Heath,Christiensen,6171494430,laser,8
Cayla,Bettison,6916499059,maestro,3
Vincenz,O'Noland,8641951739,china-unionpay,6
Thibaud,Tubble,3255422238,china-unionpay,8
